Departamento  de la Instituci¢n;Provincias dela Rep£blica  de Panam†;Tipo de Ley;Fecha de Entrada de Queja;Mes de Entrada de Queja;Motivo de Queja;Agente Econ¢mico;Actividad;Marca de Producto;Producto;Velor de Apertura de Queja;Resultado de Queja;Efectivo Devuelto al Consumidor (B/.);Fecha de Cierre de Queja;Mes Cierre de Queja;A§o Cierre de Queja;A§o Recibido de Queja
Veh°culo a Motor;Panam†;Ley 14 de 2018;45503;Jul 24;Incumplimiento de garant°a;PANAMOTOR;Agencia de autos;Nissan;Auto;18600;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45503;Jul 24;Incumplimiento de garant°a;COMPA•IA CHIRICANA DE AUTOMOVILES;Agencia de autos;Mitsubishi;Auto;1933.4;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45503;Jul 24;Incumplimiento de garant°a;ACTIVE MOTORS, S.A. / GRUPO Q;Agencia de autos;POER;Auto;23990;En proceso;;;;;2024
Veracidad;Panam†;Ley 45 de 2007;45477;Jul 24;Veracidad de la publicidad;VENTAS Y SERVICIOS  J&C;Sal¢n de belleza;;;5;Desistimiento/Devoluci¢n;5;45481;Jul 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45495;Jul 24;Veracidad de la publicidad;GRUPO DE TELECOMUNICACIONES DIGITALES, S.A.;Tv por cable;;;352.03;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45476;Jul 24;Incumplimiento de garant°a;SKY SWISS, S.A.;Inmobiliarias;;Apartamento;4686.6;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45476;Jul 24;Incumplimiento de garant°a;COOL GADGETS LIMITED, S.A.;Celulares;;Celular;260;Abandono;;45616;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45476;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Acuerdo en audiencia/Varios;;45530;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45478;Jul 24;Incumplimiento de garant°a;FURNITURE CITY;Muebler°as;;;1315.18;Desistimiento;;45538;Sep 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45482;Jul 24;Incumplimiento de garant°a;BODA PHONE;Celulares;Iphone;Celular;960;Pendiente constancia desistimiento;;45488;Jul 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45482;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Desistimiento;;45512;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45482;Jul 24;Incumplimiento de garant°a;MAXICOOL, S.A.;Servicios de instalaci¢n;Sankey;Aire acondicionado;630;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45482;Jul 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;30.12;Acuerdo en audiencia/Varios;;45580;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45496;Jul 24;Incumplimiento de servicio;HERRERIA Y ESTRUCTURA JOSUE;Herrer°as;;;1424;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45483;Jul 24;Falta de informaci¢n;CORPORACION LA PRENSA;Medios de comunicaci¢n;;;50;Desistimiento/Devoluci¢n;;45513;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45492;Jul 24;Incumplimiento de garant°a;SEGURIDAD PARA TI, S.A.;Motores (no autos);;;535.16;Inadmitida;;45528;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45485;Jul 24;Incumplimiento de garant°a;MUEBLES JAMAR;Muebler°as;;Cama;896.66;Acuerdo en audiencia/Reemplazo;;45532;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45483;Jul 24;Incumplimiento de garant°a;EL MACHETAZO;AlmacÇn por departamentos;Sankey;Televisor;427.98;Pendiente constancia desistimiento;;45527;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45485;Jul 24;Incumplimiento de garant°a;MADISON ALBROOK MERCHAANCON;AlmacÇn por departamentos;RCA;Freidora;64.19;Desistimiento;;45532;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45483;Jul 24;Falta de informaci¢n;FASHION FITNESS RETATI MP. INC;AlmacÇn de ropa y calzados;;Ropa;69.49;Acuerdo en audiencia/Devoluci¢n de dinero;;45518;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45483;Jul 24;Incumplimiento de garant°a;EL MACHETAZO;AlmacÇn por departamentos;Premier;Lavadora;299.55;Desistimiento;;45541;Sep 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45482;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;26;Acuerdo en audiencia/Varios;;45527;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45482;Jul 24;Incumplimiento de servicio;TALLER DE EBANISTERIA GABRIEL P;Servicios de instalaci¢n;;;1100;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45483;Jul 24;Incumplimiento de garant°a;MDENTZ SUPPLY, S.A.;ElectrodomÇsticos/equipos electr¢nicos;;;166.5;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45483;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;26;Acuerdo en audiencia/Varios;;45513;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45485;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Desistimiento;;45512;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45483;Jul 24;Incumplimiento de garant°a;CRêDITOS MUNDIALES;ElectrodomÇsticos/equipos electr¢nicos;LG;Refrigeradora;812.13;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45485;Jul 24;Incumplimiento de garant°a;TIGO PANAMµ;Telefonia;Iphone;Celular;958.67;Desistimiento;;45511;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45485;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;31;Acuerdo en audiencia/Varios;;45520;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45485;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Acuerdo en audiencia/Varios;;45525;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45485;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;26;Acuerdo en audiencia/Varios;;45520;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45485;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;26;Desistimiento;;45513;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45485;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;20;Desistimiento;;45516;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45485;Jul 24;Incumplimiento de garant°a;TIGO PANAMµ;Telefonia;Samsung;Celular;1176.95;Desistimiento;;45512;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45488;Jul 24;Falta de informaci¢n;TU BIENESTAR COMPANY, S.A.;Funerarias;;;26;Acuerdo en audiencia/Varios;;45525;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45488;Jul 24;Falta de informaci¢n;TU BIENESTAR COMPANY, S.A.;Funerarias;;;26;Acuerdo en audiencia/Varios;;45520;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45497;Jul 24;Incumplimiento de garant°a;GRUPO DE COMUNICACIONES DIGITALES, S.A.;Celulares;Honor;Celular;267.45;Transacci¢n extrajudicial;;45561;Sep 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45488;Jul 24;Incumplimiento de garant°a;PADEL NUESTRO;AlmacÇn de ropa y calzados;;;369.1;Desistimiento;;45546;Sep 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45490;Jul 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;40.19;Resoluciones/Varios;;45593;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45490;Jul 24;Vicio oculto;CORONA REAL INMOBILIARIA, S.A.;Inmobiliarias;;Apartamento;567.4;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45488;Jul 24;Incumplimiento de garant°a;PANAFOTO;ElectrodomÇsticos/equipos electr¢nicos;LG;Televisor;1926;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45491;Jul 24;Cobro indebido;MINIMED CORP;Cl°nicas/ Hospitales;;;614.93;Acuerdo en audiencia/Aclaraci¢n;;45530;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45490;Jul 24;Incumplimiento de garant°a;FITNESS SHOP PANAMA;AlmacÇn por departamentos;;Caminadora elÇctrica;2508.4;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45491;Jul 24;Cobro indebido;IMPORTADORA MADURO, S.A.;AlmacÇn por departamentos;;;63.46;Acuerdo en audiencia/Varios;;45561;Sep 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45491;Jul 24;Incumplimiento de garant°a;DIGITAL CITY;ElectrodomÇsticos/equipos electr¢nicos;Mystic;Congelador;200;Desistimiento;;45518;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45491;Jul 24;Cobro indebido;SMART FIT;Gimnasio y centros deportivos;;;106.97;Acuerdo en audiencia/Varios;;45565;Sep 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45491;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;31;Acuerdo en audiencia/Varios;;45516;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45491;Jul 24;Falta de informaci¢n;TU BIENESTAR COMPANY, S.A.;Funerarias;;;26;Acuerdo en audiencia/Varios;;45608;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45496;Jul 24;Falta de informaci¢n;MAXICOOL, S.A.;Servicios de instalaci¢n;;Aire acondicionado;650;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45497;Jul 24;Falta de informaci¢n;TICKET PLUS;Eventos art°sticos;;;150.4;Desistimiento/Devoluci¢n;150.4;45525;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45497;Jul 24;Falta de informaci¢n;TICKET PLUS;Eventos art°sticos;;;150.4;Desistimiento/Devoluci¢n;133.28;45518;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45496;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;29;Acuerdo en audiencia/Varios;;45533;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45496;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Acuerdo en audiencia/Varios;;45538;Sep 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45492;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45496;Jul 24;Incumplimiento de servicio;AS CORPORATE GROUP INC;Hoteles o planes vacacionales;;;875;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45496;Jul 24;Falta de informaci¢n;DREAM GALLERY;Ventas de colchones;;Colch¢n;376.73;Desistimiento;;45565;Sep 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45496;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Pendiente constancia desistimiento;;45559;Sep 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45496;Jul 24;Falta de informaci¢n;ATIKA INVESTMENT GROUP INC.;Inmobiliarias;;Apartamento;500;Pendiente constancia desistimiento;;45545;Sep 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45496;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Desistimiento;;45518;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45496;Jul 24;Incumplimiento de servicio;SOLDADURA ROLFRI;Servicios de instalaci¢n;;Ventana;475;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45497;Jul 24;Falta de informaci¢n;CLUB FIT WOMEN;Gimnasio y centros deportivos;;;160.65;Desistimiento;;45537;Sep 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45496;Jul 24;Cobro indebido;TORRE GLOBAL PARKING CORPORATION;Estacionamientos;;;8;Desistimiento;;45541;Sep 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45497;Jul 24;Resoluci¢n de contrato;CABLE & WIRELESS PANAMµ;Telefonia;;;10.08;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45497;Jul 24;Incumplimiento de servicio;OPTIMAX VISUAL CENTER;Opticas;;Lentes;117.7;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45497;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Acuerdo en audiencia/Varios;;45530;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45498;Jul 24;Incumplimiento de garant°a;PREMIER;ElectrodomÇsticos/equipos electr¢nicos;Premier;Freidora;53.49;Desistimiento;;45527;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45497;Jul 24;Incumplimiento de servicio;SALVA MI MAQUINA;Celulares;Apple;Ipad;401.25;Acuerdo en audiencia/Varios;;45569;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45497;Jul 24;Incumplimiento de servicio;LAVA PLUS;Lavautos;;Ropa;138.03;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45498;Jul 24;Falta de informaci¢n;INMOBILIARIA DON ANTONIO, S.A.;Farmacias;Royal;;36.25;Acuerdo en audiencia/Devoluci¢n de dinero;36.25;45525;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45497;Jul 24;Incumplimiento de servicio;TICKET PLUS;Eventos art°sticos;;;145.24;Desistimiento/Devoluci¢n;145.24;45516;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45498;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;26;Desistimiento;;45530;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45499;Jul 24;Falta de informaci¢n;PINTURAS MODELO PANAMA, S.A.;Pinturas;;;153.68;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45502;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;20;Desistimiento;;45532;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45502;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45502;Jul 24;Incumplimiento de garant°a;EL MACHETAZO;Supermercados;Samsung;Refrigeradora;481.48;Pendiente constancia desistimiento;;45537;Sep 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45503;Jul 24;Falta de informaci¢n;TU BIENESTAR COMPANY, S.A.;Funerarias;;;24;Pendiente constancia desistimiento;;45537;Sep 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45504;Jul 24;Incumplimiento de servicio;PANAMA INTERNATIONAL MOVERS, S.A.;Transporte (fletes, encomiendas y similares);;;1590.73;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45503;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;26;Acuerdo en audiencia/Varios;;45568;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45504;Jul 24;Incumplimiento de servicio;TOLDAS 24/7 EXPRESS;Servicios de instalaci¢n;;Gazebo;1914.66;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45504;Jul 24;Falta de informaci¢n;F Y F ESTUDIO FOTOGRAFICO;Servicios Profesionales;;;321;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45504;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Desistimiento;;45530;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45477;Jul 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;31.12;Acuerdo en audiencia/Varios;;45541;Sep 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45477;Jul 24;Devoluci¢n de dinero;ARRENDADORA ECON‡MICA;Agencia de autos;;;192.6;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45490;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;12;Desistimiento;;45518;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45497;Jul 24;Incumplimiento de garant°a;SOUND N MUSIC;Muebler°a/equipo electr¢nico;Sankey;Refrigeradora;321;Desistimiento;;45518;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45503;Jul 24;Incumplimiento de garant°a;MULTIMAX;ElectrodomÇsticos/equipos electr¢nicos;LG;Televisor;443.99;Acuerdo en audiencia/Varios;;45568;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45495;Jul 24;Incumplimiento de contrato;ESQUIPULA  AUTO ESCUELA DE MANEJO;Escuela de manejo;;;230;Inhibe;;45589;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45495;Jul 24;Incumplimiento de garant°a;UNIVERSAL M‡VIL PLUZ;Celulares;;Celular;210;Acuerdo en audiencia/Varios;;45559;Sep 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45498;Jul 24;Falta de informaci¢n;SMILE DESIGN;Cl°nicas/ Hospitales;;;75;Desistimiento/Devoluci¢n;75;45527;Ago 24;2024;2024
Decisi¢n;Bocas del Toro;Ley 45 de 2007;45475;Jul 24;Incumplimiento de garant°a;ALMACEN EL TIBURON;AlmacÇn por departamentos;;Celular;89.95;En proceso;;;;;2024
Decisi¢n;Bocas del Toro;Ley 45 de 2007;45502;Jul 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;Antena;318;En proceso;;;;;2024
Decisi¢n;CoclÇ;Ley 45 de 2007;45475;Jul 24;Falta de informaci¢n;MAURO TOW;Servicios de gr£as;;;290;En proceso;;;;;2024
Decisi¢n;CoclÇ;Ley 45 de 2007;45481;Jul 24;Resoluci¢n de contrato;CABLE & WIRELESS PANAMµ;Telefonia;;;137.12;En proceso;;;;;2024
Decisi¢n;CoclÇ;Ley 45 de 2007;45481;Jul 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;58.72;En proceso;;;;;2024
Decisi¢n;CoclÇ;Ley 45 de 2007;45491;Jul 24;Incumplimiento de contrato;PREFALEGO;Inmobiliarias;;;700;En proceso;;;;;2024
Decisi¢n;CoclÇ;Ley 45 de 2007;45498;Jul 24;Incumplimiento de servicio;TICKET PLUS;Eventos art°sticos;;;287.76;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45481;Jul 24;Resoluci¢n de contrato;CABLE & WIRELESS PANAMµ;Tv por cable;;;7;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45492;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;20;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45495;Jul 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;20;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45495;Jul 24;Incumplimiento de servicio;MULTIVENEPANAMA;Servicios de instalaci¢n;LG;Refrigeradora;157.07;En proceso;;;;;2024
Veh°culo a Motor;Chiriqu°;Ley 14 de 2018;45485;Jul 24;Incumplimiento de garant°a;GOLD CENTER;Taller de reparaci¢n de autos;Nissan;Auto;374.77;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45489;Jul 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;20;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45490;Jul 24;Resoluci¢n de contrato;CABLE & WIRELESS PANAMµ;Telefonia;;;30;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45490;Jul 24;Devoluci¢n de dinero;BOQUERON DEVELOPMENT,S,A;Inmobiliarias;;Vivienda;1600;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45490;Jul 24;Incumplimiento de garant°a;ELECTRONICA BUGABA;ElectrodomÇsticos/equipos electr¢nicos;;Celular;240;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45495;Jul 24;Incumplimiento de garant°a;CENTRO DOLLAR 1 2 3;AlmacÇn por departamentos;RCA;Televisor;342.39;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45495;Jul 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;30.13;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45495;Jul 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;24;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45475;Jul 24;Rescindir contrato;SKY PANAMµ;Tv por cable;;;20;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45482;Jul 24;Rescindir contrato;SKY PANAMµ;Tv por cable;;;20;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45484;Jul 24;Rescindir contrato;SKY PANAMµ;Tv por cable;;;20;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45484;Jul 24;Rescindir contrato;SKY PANAMµ;Tv por cable;;;56.06;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45484;Jul 24;Rescindir contrato;SKY PANAMµ;Tv por cable;;;20;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45488;Jul 24;Rescindir contrato;SKY PANAMµ;Tv por cable;;;23.98;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45492;Jul 24;Incumplimiento de garant°a;TIENDA TOTAL;Servicios Profesionales;;;106.98;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45504;Jul 24;Rescindir contrato;SKY PANAMµ;Tv por cable;;;20;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45504;Jul 24;Rescindir contrato;SKY PANAMµ;Tv por cable;;;20;En proceso;;;;;2024
Decisi¢n;Los Santos;Ley 45 de 2007;45477;Jul 24;Rescindir contrato;SKY PANAMµ;Tv por cable;;;47.98;En proceso;;;;;2024
Decisi¢n;Los Santos;Ley 45 de 2007;45483;Jul 24;Incumplimiento de garant°a;MEGA VARIEDADES LA POLLERA;Muebler°a/equipo electr¢nico;Samsung;Refrigeradora;675;En proceso;;;;;2024
Veh°culo a Motor;Veraguas;Ley 14 de 2018;45483;Jul 24;Incumplimiento de garant°a;BUENAS LLANTAS, S.A.;Repuestos para autos;;Llanta;40;En proceso;;;;;2024
Veh°culo a Motor;Veraguas;Ley 14 de 2018;45491;Jul 24;Incumplimiento de garant°a;RODMAN AUTO SERVICES;Repuestos para autos;Nissan;Pieza de Repuesto;190;En proceso;;;;;2024
Decisi¢n;Veraguas;Ley 45 de 2007;45483;Jul 24;Falta de informaci¢n;HOTEL BAMBUDA SANTA CATALINA;Hoteles o planes vacacionales;;;1359.72;En proceso;;;;;2024
Decisi¢n;Veraguas;Ley 45 de 2007;45488;Jul 24;Anulaci¢n de contrato;SKY PANAMµ;Tv por cable;;;20;Desistimiento;;45610;Nov 24;2024;2024
Decisi¢n;Veraguas;Ley 45 de 2007;45490;Jul 24;Falta de informaci¢n;MUEBLES JAMAR;Muebler°a/equipo electr¢nico;;;426.93;En proceso;;;;;2024
Decisi¢n;Veraguas;Ley 45 de 2007;45503;Jul 24;Resoluci¢n de contrato;CABLE & WIRELESS PANAMµ;Tv por cable;;;59.31;En proceso;;;;;2024
Veh°culo a Motor;Pm† Oeste;Ley 14 de 2018;45502;Jul 24;Incumplimiento de garant°a;AUTO SPOT CENTER, S.A.;Repuestos para autos;;;64.2;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45476;Jul 24;Falta de informaci¢n;TECNOBYTE STORE, S.A.;Celulares;Samsung;Celular;369.99;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45477;Jul 24;Falta de informaci¢n;MEDIC FEET;Cl°nicas/ Hospitales;;;69.55;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45477;Jul 24;Incumplimiento de garant°a;LEYS , S.A.;Muebler°a/equipo electr¢nico;;Televisor;267;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45483;Jul 24;Incumplimiento de garant°a;TECNO COOL, S.A.;AlmacÇn por departamentos;;;275.81;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45489;Jul 24;Falta de informaci¢n;WOODLAND PANAMA;F†bricas de muebles;;;915;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45495;Jul 24;Incumplimiento de garant°a;TECNOBYTE STORE, S.A.;Celulares;Iphone;Celular;2539.99;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45496;Jul 24;Resoluci¢n de contrato;NATURAL ENGLISH;Cursos de inglÇs;;;1520;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45496;Jul 24;Cobro indebido;CABLE & WIRELESS PANAMµ;Comunicaciones / internet;;;30.3;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45499;Jul 24;Incumplimiento de contrato;FUNERARIA VIRGEN DE FATIMA;Funerarias;;;65;En proceso;;;;;2024
Decisi¢n;Pm† Este;Ley 45 de 2007;45481;Jul 24;Incumplimiento de garant°a;GRUPO REY;Supermercados;Westinghouse;Televisor;309.23;Desistimiento;;45483;Jul 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45505;Ago 24;Falta de informaci¢n;TOTAL CARS;Venta de autos usados;Nissan;Auto;6300;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45505;Ago 24;Incumplimiento de garant°a;DISTRIBUIDORA AUTOMOTRIZ FORTUNE;Agencia de autos;Changan;Auto;21488;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45505;Ago 24;Custodia de bien;TALLER AUTO COOL PANAMµ;Taller de reparaci¢n de autos;Toyota;Auto;226.29;En proceso;;;;;2024
